有價證券代號,有價證券名稱,市場別,產業別,公開發行/上市(櫃)/發行日
1101,台泥,上市,水泥工業,1962/02/09
1102,亞泥,上市,水泥工業,1962/06/08
1103,嘉泥,上市,水泥工業,1969/11/14
1104,環泥,上市,水泥工業,1971/02/01
1108,幸福,上市,水泥工業,1990/06/06
1109,信大,上市,水泥工業,1991/12/05
1110,東泥,上市,水泥工業,1994/10/22
1201,味全,上市,食品工業,1962/02/09
1203,味王,上市,食品工業,1964/08/24
1210,大成,上市,食品工業,1978/05/20
1213,大飲,上市,食品工業,1981/04/10
1215,卜蜂,上市,食品工業,1987/07/27
1216,統一,上市,食品工業,1987/12/28
1217,愛之味,上市,食品工業,1989/10/28
1218,泰山,上市,食品工業,1989/11/11
1219,福壽,上市,食品工業,1990/12/01
1220,台榮,上市,食品工業,1991/11/20
1225,福懋油,上市,食品工業,1993/09/27
1227,佳格,上市,食品工業,1994/04/09
1229,聯華,上市,食品工業,1976/07/19
1231,聯華食,上市,食品工業,1995/11/02
1232,大統益,上市,食品工業,1996/02/09
1233,天仁,上市,食品工業,1999/01/20
1234,黑松,上市,食品工業,1999/03/12
1235,興泰,上市,食品工業,2000/09/11
1236,宏亞,上市,食品工業,2001/09/17
1256,鮮活果汁-KY,上市,食品工業,2016/03/17
1301,台塑,上市,塑膠工業,1964/07/27
1303,南亞,上市,塑膠工業,1967/11/05
1304,台聚,上市,塑膠工業,1972/05/20
1305,華夏,上市,塑膠工業,1973/03/05
1307,三芳,上市,塑膠工業,1985/11/23
1308,亞聚,上市,塑膠工業,1986/06/20
1309,台達化,上市,塑膠工業,1986/06/27
1310,台苯,上市,塑膠工業,1987/08/06
1312,國喬,上市,塑膠工業,1988/12/21
1313,聯成,上市,塑膠工業,1989/03/27
1314,中石化,上市,塑膠工業,1991/07/12
1315,達新,上市,塑膠工業,1992/05/09
1316,上曜,上市,建材營造業,1992/10/15
1319,東陽,上市,汽車工業,1994/12/12
1321,大洋,上市,塑膠工業,1999/01/26
1323,永裕,上市,塑膠工業,2000/09/11
1324,地球,上市,塑膠工業,2000/09/11
1325,恆大,上市,塑膠工業,2000/09/11
1326,台化,上市,塑膠工業,1984/12/20
1337,再生-KY,上市,塑膠工業,2011/07/01
1338,廣華-KY,上市,汽車工業,2012/12/19
1339,昭輝,上市,汽車工業,2012/04/24
1340,勝悅-KY,上市,塑膠工業,2013/12/06
1341,富林-KY,上市,塑膠工業,2018/12/24
1342,八貫,上市,其他業,2020/11/24
1402,遠東新,上市,紡織纖維,1967/04/14
1409,新纖,上市,紡織纖維,1973/08/31
1410,南染,上市,紡織纖維,1973/10/18
1413,宏洲,上市,紡織纖維,1975/12/23
1414,東和,上市,紡織纖維,1976/02/02
1416,廣豐,上市,其他業,1976/04/20
1417,嘉裕,上市,紡織纖維,1976/12/28
1418,東華,上市,紡織纖維,1977/02/14
1419,新紡,上市,紡織纖維,1977/03/14
1423,利華,上市,紡織纖維,1979/04/02
1432,大魯閣,上市,貿易百貨業,1982/07/26
1434,福懋,上市,紡織纖維,1985/12/24
1435,中福,上市,其他業,1987/12/28
1436,華友聯,上市,建材營造業,1988/04/11
1437,勤益控,上市,其他業,1988/11/10
1438,三地開發,上市,建材營造業,1988/12/15
1439,中和,上市,紡織纖維,1989/05/22
1440,南紡,上市,紡織纖維,1989/10/03
1441,大東,上市,紡織纖維,1989/10/27
1442,名軒,上市,建材營造業,1989/11/16
1443,立益,上市,紡織纖維,1990/04/21
1444,力麗,上市,紡織纖維,1990/08/08
1445,大宇,上市,紡織纖維,1991/02/05
1446,宏和,上市,紡織纖維,1991/10/15
1447,力鵬,上市,紡織纖維,1992/01/28
1449,佳和,上市,紡織纖維,1992/03/12
1451,年興,上市,紡織纖維,1992/12/21
1452,宏益,上市,紡織纖維,1992/12/28
1453,大將,上市,紡織纖維,1993/04/19
1454,台富,上市,紡織纖維,1993/05/07
1455,集盛,上市,紡織纖維,1993/10/07
1456,怡華,上市,紡織纖維,1993/12/09
1457,宜進,上市,紡織纖維,1994/10/20
1459,聯發,上市,紡織纖維,1994/10/26
1460,宏遠,上市,紡織纖維,1995/04/28
1463,強盛,上市,紡織纖維,1996/12/05
1464,得力,上市,紡織纖維,1997/01/18
1465,偉全,上市,紡織纖維,1997/09/08
1466,聚隆,上市,紡織纖維,1998/04/04
1467,南緯,上市,紡織纖維,1998/12/21
1468,昶和,上市,紡織纖維,1999/01/21
1470,大統新創,上市,紡織纖維,1999/05/21
1471,首利,上市,電子零組件業,2000/03/06
1472,三洋紡,上市,紡織纖維,2000/09/11
1473,台南,上市,紡織纖維,2000/09/11
1474,弘裕,上市,紡織纖維,2000/10/31
1475,業旺,上市,紡織纖維,2000/10/27
1476,儒鴻,上市,紡織纖維,2001/04/18
1477,聚陽,上市,紡織纖維,2003/01/21
1503,士電,上市,電機機械,1969/12/15
1504,東元,上市,電機機械,1973/11/05
1506,正道,上市,電機機械,1980/08/11
1507,永大,上市,電機機械,1989/11/09
1512,瑞利,上市,汽車工業,1994/01/28
1513,中興電,上市,電機機械,1994/03/08
1514,亞力,上市,電機機械,1994/03/26
1515,力山,上市,電機機械,1995/02/04
1516,川飛,上市,其他業,1995/04/01
1517,利奇,上市,電機機械,1995/11/14
1519,華城,上市,電機機械,1997/04/16
1521,大億,上市,汽車工業,1997/10/06
1522,堤維西,上市,汽車工業,1997/10/06
1524,耿鼎,上市,汽車工業,1998/10/30
1525,江申,上市,汽車工業,1999/05/15
1526,日馳,上市,電機機械,2000/03/27
1527,鑽全,上市,電機機械,2000/06/21
1528,恩德,上市,電機機械,2000/09/11
1529,樂士,上市,電機機械,2000/09/11
1530,亞崴,上市,電機機械,2000/09/11
